horas_estudio,asistencia_pct,tareas_entregadas,participacion,horas_sueno,promedio_final
9.9,79.0,10,4.8,6.3,100.0
5.9,85.2,7,6.3,6.2,96.7
11.3,71.9,9,6.1,6.8,100.0
11.8,74.3,9,8.4,8.5,100.0
3.1,100.0,7,7.4,8.9,94.0
5.1,75.7,10,4.0,6.8,100.0
9.4,77.2,4,7.9,9.0,100.0
8.1,100.0,10,6.0,7.1,100.0
8.9,100.0,9,9.2,8.9,100.0
6.4,76.6,7,5.9,7.0,95.0
11.6,83.1,9,5.9,7.2,100.0
11.3,88.7,7,7.9,7.5,100.0
9.2,99.8,5,8.3,9.5,100.0
12.4,78.1,9,7.8,8.0,100.0
10.4,84.0,5,4.1,6.4,100.0
6.4,92.2,6,7.9,8.1,99.0
10.1,89.5,7,5.2,6.7,100.0
6.1,83.0,9,7.4,6.6,100.0
11.6,84.9,6,4.6,8.0,100.0
8.9,75.0,7,7.8,7.1,100.0
8.4,84.1,4,5.6,7.4,91.4
7.0,83.9,4,4.8,7.1,97.1
12.7,87.9,4,8.2,7.4,100.0
8.5,81.6,4,7.4,7.5,100.0
7.7,89.8,10,6.0,5.2,100.0
7.9,94.1,9,9.5,7.8,100.0
10.6,87.2,9,6.3,6.1,100.0
10.1,88.8,4,7.1,5.7,100.0
10.2,86.4,4,7.5,7.0,100.0
10.3,86.0,5,5.9,7.2,100.0
15.4,80.2,7,7.8,6.4,100.0
7.8,88.5,6,6.1,7.9,100.0
7.5,85.2,7,6.3,5.8,91.0
6.6,100.0,5,9.3,6.7,97.7
10.8,98.6,9,5.2,6.5,100.0
12.4,89.1,6,2.9,7.1,100.0
8.7,79.9,4,9.7,7.4,100.0
6.5,77.1,9,10.0,6.1,100.0
6.5,95.5,10,6.3,7.8,99.7
11.0,88.1,4,3.7,7.2,96.7
11.2,89.8,7,6.5,5.2,100.0
10.6,72.0,9,6.5,5.1,100.0
7.0,93.4,8,6.7,7.1,100.0
9.7,89.6,9,5.1,6.9,100.0
9.4,77.1,6,8.0,7.0,100.0
9.7,82.2,6,7.9,7.1,98.7
11.6,88.1,8,4.5,7.3,100.0
9.7,86.4,5,8.2,8.0,100.0
11.0,83.7,5,10.0,6.0,100.0
9.2,85.2,8,7.3,5.9,100.0
9.9,84.0,8,6.4,6.0,100.0
10.9,87.2,4,6.8,7.4,100.0
4.6,97.8,7,8.0,8.3,100.0
8.0,65.5,6,4.1,6.7,89.7
7.6,84.1,7,7.3,4.6,97.7
7.1,87.4,10,6.3,5.4,91.8
8.2,88.4,4,10.0,6.3,96.7
13.5,83.0,10,6.7,6.5,100.0
6.4,71.9,7,9.8,6.7,95.6
11.9,88.6,9,5.1,7.1,100.0
4.0,99.8,6,8.0,6.8,95.4
8.0,73.7,6,7.5,8.1,100.0
9.5,92.9,9,5.5,6.4,100.0
10.8,83.4,8,7.3,6.2,100.0
11.1,85.5,5,9.1,7.6,100.0
11.4,77.6,8,6.4,5.6,100.0
8.0,83.3,9,4.1,7.5,100.0
7.6,96.4,6,7.0,7.2,89.1
11.6,90.7,10,5.5,7.0,100.0
8.4,99.9,8,6.4,8.7,100.0
5.2,95.4,6,6.9,6.5,95.8
5.6,89.5,4,4.1,9.2,93.1
6.2,100.0,8,4.3,6.9,100.0
10.5,89.5,5,7.8,5.8,100.0
9.4,92.6,9,6.1,7.2,100.0
11.1,83.6,7,2.6,6.0,100.0
7.7,86.5,7,8.3,6.3,100.0
9.5,80.4,5,7.5,7.5,100.0
10.9,93.9,8,5.8,7.7,100.0
8.1,76.6,5,4.8,6.5,89.0
10.4,92.3,6,8.4,8.1,100.0
7.0,84.5,9,7.6,8.3,100.0
7.9,95.4,10,10.0,8.5,100.0
7.9,92.0,10,7.7,7.6,100.0
5.4,100.0,10,7.7,8.5,93.9
10.5,91.8,7,6.7,5.2,98.7
7.6,73.4,5,8.4,6.8,89.9
9.0,85.5,9,8.1,6.2,100.0
10.4,76.6,9,9.1,7.2,100.0
10.3,81.9,10,6.1,6.5,100.0
11.0,98.1,8,6.3,6.9,100.0
8.7,91.1,4,6.2,9.0,94.7
7.7,80.4,7,8.3,6.9,100.0
8.8,77.9,7,9.5,7.5,100.0
3.9,86.3,9,6.2,6.9,93.4
4.7,76.3,6,6.3,7.2,87.7
5.0,80.6,6,7.5,7.1,87.1
6.0,88.5,4,6.6,7.5,82.1
10.2,95.2,9,8.6,8.3,100.0
6.3,90.9,9,3.2,8.7,92.8
7.9,67.7,4,5.6,7.4,89.4
12.9,88.4,7,5.7,7.7,100.0
7.9,86.6,7,3.1,5.9,90.5
11.2,89.3,7,5.4,7.0,100.0
6.2,98.9,10,5.4,8.0,100.0
8.4,69.5,5,6.7,8.0,97.6
6.1,81.3,6,8.9,7.3,91.0
8.0,90.7,5,6.6,8.0,100.0
11.5,73.3,5,5.2,7.6,95.9
3.8,97.8,10,6.9,8.3,100.0
10.3,88.9,10,8.8,7.4,100.0
9.7,92.8,4,5.3,6.7,91.2
7.2,81.4,8,5.5,7.4,97.0
4.7,92.5,5,7.9,4.5,94.3
9.2,94.5,5,6.6,7.5,100.0
7.4,87.9,6,8.1,4.5,98.2
9.7,87.9,5,7.0,5.4,100.0
9.1,88.2,7,8.2,7.6,100.0
